Date,Open,High,Low,Close
27 December 2012,5954.18,5997.04,5942.44,5954.3
28 December 2012,5954.3,5975.97,5915.32,5925.37
31 December 2012,5925.37,5925.43,5873.43,5897.81
02 January 2013,5897.81,6044.57,5897.81,6027.37
03 January 2013,6027.37,6051.3,6016.8,6047.34
04 January 2013,6047.34,6089.84,6038.02,6089.84
07 January 2013,6089.84,6091.5,6060.75,6064.58
08 January 2013,6064.58,6088.18,6053.63,6053.63
09 January 2013,6053.63,6112.27,6053.63,6098.65
10 January 2013,6098.65,6118.3,6090.61,6101.51
11 January 2013,6101.51,6121.58,6095.07,6121.58
14 January 2013,6121.58,6134.17,6104.9,6107.86
15 January 2013,6107.86,6117.31,6086.21,6117.31
16 January 2013,6117.31,6117.33,6076.12,6103.98
17 January 2013,6103.98,6135.89,6087.49,6132.36
18 January 2013,6132.36,6172.49,6131.93,6154.41
21 January 2013,6154.41,6182.23,6154.41,6180.98
22 January 2013,6180.98,6188.58,6149.18,6179.17
23 January 2013,6179.17,6200.49,6178.47,6197.64
24 January 2013,6197.64,6271.4,6186.48,6264.91
25 January 2013,6264.91,6284.45,6247.33,6284.45
28 January 2013,6284.45,6311.26,6277.04,6294.41
29 January 2013,6294.41,6346.37,6285.77,6339.19
30 January 2013,6339.19,6354.46,6316.29,6323.11
31 January 2013,6323.11,6451.01,6142.02,6276.88
01 February 2013,6276.88,6353.95,6275.5,6347.24
04 February 2013,6347.24,6347.26,6236.66,6246.84
05 February 2013,6246.84,6296.47,6244.07,6282.76
06 February 2013,6282.76,6321.45,6265.55,6295.34
07 February 2013,6295.34,6313,6216.72,6228.42
08 February 2013,6228.42,6278.07,6228.42,6263.93
11 February 2013,6263.93,6294.81,6252.31,6277.06
12 February 2013,6277.06,6338.38,6259.82,6338.38
13 February 2013,6338.38,6384.7,6311.59,6359.11
14 February 2013,6359.11,6364.72,6302,6327.36
15 February 2013,6327.36,6352.2,6309.78,6328.26
18 February 2013,6328.26,6330.17,6306.83,6318.19
19 February 2013,6318.19,6385.14,6304.4,6379.07
20 February 2013,6379.07,6412.44,6368.2,6395.37
21 February 2013,6395.37,6395.37,6277.96,6291.54
22 February 2013,6291.54,6347.25,6291.49,6335.7
25 February 2013,6335.7,6390.09,6323.98,6355.37
26 February 2013,6355.37,6355.37,6258.62,6270.44
27 February 2013,6270.44,6335.9,6269.26,6325.88
28 February 2013,6325.88,6372,6325.88,6360.81
01 March 2013,6360.81,6391.67,6308.56,6378.6
04 March 2013,6378.6,6379.29,6333.17,6345.63
05 March 2013,6345.63,6437.34,6344.78,6431.95
06 March 2013,6431.95,6460.96,6418.72,6427.64
07 March 2013,6427.64,6459.68,6427.31,6439.16
08 March 2013,6439.16,6489.54,6439.16,6483.58
11 March 2013,6483.58,6505.3,6473.56,6503.63
12 March 2013,6503.63,6533.99,6491.75,6510.62
13 March 2013,6510.62,6510.62,6437.61,6481.5
14 March 2013,6481.5,6532.57,6478.54,6529.41
15 March 2013,6529.41,6533.78,6470.1,6489.65
18 March 2013,6489.65,6489.65,6386.17,6457.92
19 March 2013,6457.92,6474.57,6414.45,6441.32
20 March 2013,6441.32,6475.61,6421.29,6432.7
21 March 2013,6432.7,6435.59,6364,6388.55
22 March 2013,6388.55,6426.45,6374.51,6392.76
25 March 2013,6392.76,6458.53,6366.62,6378.38
26 March 2013,6378.38,6404.52,6369.58,6399.37
27 March 2013,6399.37,6420.9,6344.19,6387.56
28 March 2013,6387.56,6447.86,6381.99,6411.74
02 April 2013,6411.74,6501.78,6408.84,6490.66
03 April 2013,6490.66,6491.84,6416.67,6420.28
04 April 2013,6420.28,6426.37,6341.43,6344.12
05 April 2013,6344.12,6346.82,6214.36,6249.78
08 April 2013,6249.78,6289.59,6249.78,6276.94
09 April 2013,6276.94,6326.54,6276.94,6313.21
10 April 2013,6313.21,6405.2,6313.2,6387.37
11 April 2013,6387.37,6423.56,6377.54,6416.14
12 April 2013,6416.14,6416.14,6368.2,6384.39
15 April 2013,6384.39,6384.42,6300.12,6343.6
16 April 2013,6343.6,6343.6,6297.53,6304.58
17 April 2013,6304.58,6334.44,6225.16,6244.21
18 April 2013,6244.21,6277.79,6225.86,6243.67
19 April 2013,6243.67,6288.7,6243.67,6286.59
22 April 2013,6286.59,6341.98,6258.98,6280.62
23 April 2013,6280.62,6406.14,6278.48,6406.12
24 April 2013,6406.12,6438.93,6396.19,6431.76
25 April 2013,6431.76,6467.11,6411.94,6442.59
26 April 2013,6442.59,6442.59,6399.37,6426.42
29 April 2013,6426.42,6458.02,6419.27,6458.02
30 April 2013,6458.02,6483.08,6412.69,6430.12
01 May 2013,6430.12,6475.87,6429.8,6451.29
02 May 2013,6451.29,6470.34,6409.81,6460.71
03 May 2013,6460.71,6541.69,6451.5,6521.46
07 May 2013,6521.46,6563.9,6521.43,6557.3
08 May 2013,6557.3,6587.39,6547,6583.48
09 May 2013,6583.48,6597.26,6571.73,6592.74
10 May 2013,6592.74,6637.84,6591.58,6624.98
13 May 2013,6624.98,6633.26,6602.82,6631.76
14 May 2013,6631.76,6686.06,6618.36,6686.06
15 May 2013,6686.06,6701.68,6669.04,6693.55
16 May 2013,6693.55,6714.48,6677.15,6687.8
17 May 2013,6687.8,6726.9,6669.93,6723.06
20 May 2013,6723.06,6755.63,6709.14,6755.63
21 May 2013,6755.63,6803.87,6744.2,6803.87
22 May 2013,6803.87,6875.62,6781.45,6840.27
23 May 2013,6840.27,6840.27,6658.77,6696.79
24 May 2013,6696.79,6720.08,6640.08,6654.34
28 May 2013,6654.34,6790.7,6654.34,6762.01
29 May 2013,6762.01,6762.01,6620.82,6627.17
30 May 2013,6627.17,6656.99,6611.03,6656.99
31 May 2013,6656.99,6657.07,6577.75,6583.09
03 June 2013,6583.09,6583.09,6514.08,6525.12
04 June 2013,6525.12,6577,6525.12,6558.58
05 June 2013,6558.58,6558.58,6419.31,6419.31
06 June 2013,6419.31,6435.39,6336.11,6336.11
07 June 2013,6336.11,6421.37,6313.6,6411.99
10 June 2013,6411.99,6421.24,6379.62,6400.45
11 June 2013,6400.45,6401.18,6280.08,6340.08
12 June 2013,6340.08,6364.26,6295.92,6299.45
13 June 2013,6299.45,6310.95,6205.71,6304.63
14 June 2013,6304.63,6343.51,6290.62,6308.26
17 June 2013,6308.26,6370.75,6308.26,6330.49
18 June 2013,6330.49,6397.33,6311.35,6374.21
19 June 2013,6374.21,6383.61,6327.01,6348.82
20 June 2013,6348.82,6348.82,6144.98,6159.51
21 June 2013,6159.51,6244.17,6116.17,6116.17
24 June 2013,6116.17,6136.11,6023.44,6029.1
25 June 2013,6029.1,6114.61,6029.1,6101.91
26 June 2013,6101.91,6177.92,6089.21,6165.48
27 June 2013,6165.48,6271.8,6165.45,6243.4
28 June 2013,6243.4,6268.84,6207.72,6215.47
01 July 2013,6215.47,6317.02,6215.44,6307.78
02 July 2013,6307.78,6314.13,6266.5,6303.94
03 July 2013,6303.94,6303.94,6185.21,6229.87
04 July 2013,6229.87,6431.41,6229.87,6421.67
05 July 2013,6421.67,6498.59,6364.38,6375.52
08 July 2013,6375.52,6476.09,6375.52,6450.07
09 July 2013,6450.07,6530.86,6450.07,6513.08
10 July 2013,6513.08,6535.91,6472.41,6504.96
11 July 2013,6504.96,6585.74,6504.96,6543.41
12 July 2013,6543.41,6583.9,6540.24,6544.94
15 July 2013,6544.94,6605.9,6544.94,6586.11
16 July 2013,6586.11,6606.42,6556.35,6556.35
17 July 2013,6556.35,6595.62,6517.38,6571.93
18 July 2013,6571.93,6657.38,6555.82,6634.36
19 July 2013,6634.36,6635.22,6592.1,6630.67
22 July 2013,6630.67,6645.01,6608.17,6623.17
23 July 2013,6623.17,6657.66,6597.44,6597.44
24 July 2013,6597.44,6662.19,6581.61,6620.43
25 July 2013,6620.43,6625.35,6540.42,6587.95
26 July 2013,6587.95,6629.89,6535.18,6554.79
29 July 2013,6554.79,6606.36,6544.14,6560.25
30 July 2013,6560.25,6600.72,6560.25,6570.95
31 July 2013,6570.95,6659.35,6556.65,6621.06
01 August 2013,6621.06,6681.98,6607.27,6681.98
02 August 2013,6681.98,6696.63,6623.85,6647.87
05 August 2013,6647.87,6684.95,6590.1,6619.58
06 August 2013,6619.58,6630.14,6562.32,6604.21
07 August 2013,6604.21,6624.99,6511.21,6511.21
08 August 2013,6511.21,6558.59,6507.24,6529.68
09 August 2013,6529.68,6601.21,6529.48,6583.39
12 August 2013,6583.39,6598.39,6547,6574.34
13 August 2013,6574.34,6620.43,6568.44,6611.94
14 August 2013,6611.94,6627.96,6582.58,6587.43
15 August 2013,6587.43,6587.88,6460.12,6483.34
16 August 2013,6483.34,6502.27,6461.3,6499.99
19 August 2013,6499.99,6506.59,6457.73,6465.73
20 August 2013,6465.73,6465.73,6398.63,6453.46
21 August 2013,6453.46,6453.55,6386.72,6390.84
22 August 2013,6390.84,6468.88,6390.62,6446.87
23 August 2013,6446.87,6516.71,6422.35,6492.1
